age,gender,net_cash,percentage,product_type,product_name
65,male,1000000,10,crypto,BTC
35,male,5000,85,stock,GOOGLE
35,male,1000000,100,stock,GOOGLE
50,female,10000,50,crypto,DOGE
30,male,1000000,80,crypto,ETH
45,female,50000,45,stock,APPLE
25,female,5000,10,stock,APPLE
45,female,5000,60,stock,Coca-Cola
25,female,500000,5,stock,Coca-Cola
25,male,5000,15,crypto,BTC
25,female,5000000,50,crypto,DOGE
70,male,50000,70,stock,GOOGLE
70,male,10000,95,crypto,ETH
70,female,5000000,10,crypto,SOL
55,male,10000000,10,crypto,SOL
45,male,500000,55,crypto,DOGE
55,male,5000,65,stock,APPLE
45,female,10000,80,stock,JPMorgan
55,female,5000,75,crypto,BTC
50,female,5000000,10,stock,GOOGLE
55,female,10000,95,crypto,ETH
65,male,5000000,45,crypto,XRP
40,male,500000,85,crypto,XRP
70,male,500000,50,crypto,DOGE
55,female,50000,30,crypto,XRP
55,male,10000000,50,crypto,SOL
35,male,5000000,80,stock,JPMorgan
45,female,5000000,100,stock,APPLE
50,male,1000000,25,stock,APPLE
40,male,100000,80,crypto,XRP
60,female,10000000,100,stock,JPMorgan
70,male,1000000,80,stock,TESLA
45,female,50000,85,stock,APPLE
65,male,50000,100,crypto,ETH
25,male,5000000,80,crypto,SOL
35,male,1000000,20,crypto,BTC
50,female,10000000,75,crypto,XRP
25,female,5000,75,stock,APPLE
40,female,10000000,5,crypto,SOL
55,female,5000000,40,crypto,BTC
30,female,5000,60,stock,JPMorgan
55,female,100000,15,crypto,DOGE
35,female,500000,80,stock,TESLA
70,male,10000000,80,stock,JPMorgan
65,male,1000000,80,stock,TESLA
40,male,10000000,40,crypto,SOL
45,male,50000,70,crypto,ETH
70,female,5000,90,stock,Coca-Cola
60,female,10000000,20,stock,APPLE
70,female,100000,15,stock,GOOGLE
65,male,5000000,55,crypto,ETH
65,female,5000,45,crypto,SOL
45,male,100000,65,crypto,BTC
30,male,10000,90,stock,TESLA
40,female,5000000,20,stock,Coca-Cola
60,female,1000000,50,crypto,DOGE
45,male,100000,95,stock,TESLA
50,female,10000000,55,crypto,DOGE
45,male,10000,35,stock,GOOGLE
70,male,50000,25,crypto,XRP
35,female,5000,20,crypto,BTC
25,male,10000000,50,crypto,BTC
45,male,10000000,60,stock,GOOGLE
55,male,5000000,80,crypto,XRP
35,female,10000000,5,crypto,BTC
65,female,500000,95,stock,Coca-Cola
25,male,10000000,70,crypto,XRP
40,female,50000,55,stock,APPLE
