age,gender,net_cash,percentage,product_type,product_name
35,male,10000,5,crypto,BTC
45,female,100000,85,crypto,BTC
30,female,100000,5,stock,TESLA
40,female,1000000,25,crypto,BTC
45,female,500000,45,stock,TESLA
50,female,1000000,80,crypto,ETH
45,female,10000000,75,stock,JPMorgan
45,male,5000000,5,stock,APPLE
60,male,1000000,20,stock,APPLE
70,male,1000000,70,crypto,BTC
60,male,5000,50,crypto,DOGE
45,male,5000000,50,stock,Coca-Cola
70,male,10000,100,crypto,DOGE
25,female,1000000,65,crypto,XRP
30,male,50000,45,stock,GOOGLE
60,female,10000000,80,crypto,ETH
70,female,100000,15,crypto,ETH
50,male,5000000,45,stock,GOOGLE
65,male,5000000,70,crypto,BTC
40,male,100000,10,stock,APPLE
60,male,5000,40,crypto,DOGE
35,female,10000000,85,stock,Coca-Cola
60,male,10000000,30,stock,GOOGLE
60,female,5000000,75,stock,Coca-Cola
50,male,50000,10,crypto,SOL
70,male,5000000,50,crypto,SOL
30,female,50000,60,stock,JPMorgan
25,female,5000,95,crypto,DOGE
65,male,100000,65,crypto,SOL
30,male,500000,95,stock,TESLA
30,female,10000000,50,crypto,SOL
30,male,10000,100,crypto,SOL
70,female,5000000,80,crypto,XRP
30,male,10000,5,crypto,BTC
70,male,50000,75,crypto,DOGE
25,male,1000000,40,stock,APPLE
50,female,5000,95,stock,Coca-Cola
65,female,5000000,20,crypto,DOGE
45,male,50000,25,stock,APPLE
50,female,10000000,95,stock,Coca-Cola
70,female,5000000,95,crypto,XRP
30,female,5000000,35,crypto,DOGE
30,male,50000,25,crypto,DOGE
70,female,10000000,45,crypto,XRP
55,female,5000000,15,crypto,BTC
50,female,50000,100,stock,Coca-Cola
60,male,5000,80,crypto,ETH
25,female,100000,5,stock,GOOGLE
45,female,100000,5,crypto,DOGE
70,male,5000,20,crypto,DOGE
35,female,100000,50,crypto,DOGE
35,female,5000,60,stock,TESLA
45,female,10000,60,stock,APPLE
70,female,10000000,80,stock,GOOGLE
70,male,5000,75,crypto,XRP
45,female,1000000,10,crypto,BTC
55,female,50000,35,stock,JPMorgan
55,male,1000000,50,stock,APPLE
60,female,500000,75,crypto,BTC
45,female,10000,20,stock,JPMorgan
25,female,100000,45,stock,TESLA
65,male,500000,90,stock,TESLA
70,female,5000,60,crypto,DOGE
35,female,1000000,30,crypto,BTC
60,female,1000000,30,crypto,DOGE
45,female,1000000,45,stock,JPMorgan
60,female,10000,60,stock,Coca-Cola
30,female,10000,15,crypto,DOGE
60,female,1000000,40,stock,APPLE
70,male,5000000,40,crypto,SOL
25,male,10000,40,stock,TESLA
35,female,5000,25,crypto,BTC
60,male,50000,55,stock,APPLE
65,female,100000,60,stock,APPLE
55,female,5000000,45,stock,GOOGLE
35,male,5000000,5,crypto,XRP
45,female,50000,75,crypto,BTC
30,male,10000,15,crypto,BTC
70,female,50000,80,crypto,XRP
40,male,100000,10,stock,Coca-Cola
50,female,50000,75,crypto,XRP
60,female,500000,15,crypto,ETH
30,female,5000000,95,crypto,SOL
30,female,100000,60,stock,Coca-Cola
65,male,10000000,70,crypto,DOGE
55,female,500000,80,crypto,XRP
25,male,5000000,20,stock,JPMorgan
45,female,5000,70,stock,Coca-Cola
50,male,10000000,35,crypto,ETH
65,female,5000,95,stock,GOOGLE
55,female,100000,45,crypto,ETH
40,female,10000000,80,stock,GOOGLE
70,female,5000,20,stock,Coca-Cola
70,male,5000000,65,stock,JPMorgan
35,male,5000,20,stock,JPMorgan
25,male,500000,70,stock,JPMorgan
55,male,50000,35,stock,TESLA
35,female,5000,65,stock,Coca-Cola
55,female,10000,95,stock,Coca-Cola
55,male,5000000,95,stock,GOOGLE
55,female,500000,80,stock,Coca-Cola
25,female,10000000,5,crypto,BTC
55,female,5000,35,stock,Coca-Cola
25,male,10000000,25,stock,TESLA
30,female,1000000,15,stock,APPLE
40,male,1000000,70,crypto,SOL
40,male,5000000,50,stock,APPLE
40,male,5000,75,stock,GOOGLE
65,male,10000000,35,crypto,SOL
55,male,100000,70,crypto,XRP
30,female,500000,90,crypto,SOL
25,male,10000000,90,crypto,BTC
40,male,100000,65,stock,JPMorgan
35,female,50000,55,crypto,XRP
40,male,500000,25,stock,GOOGLE
40,male,100000,25,stock,JPMorgan
45,male,10000000,15,crypto,SOL
45,male,5000,20,crypto,XRP
30,male,100000,15,stock,TESLA
40,female,100000,30,stock,JPMorgan
55,male,10000,55,crypto,ETH
30,female,5000000,80,stock,JPMorgan
30,female,5000000,100,stock,APPLE
50,female,5000000,30,stock,JPMorgan
50,female,10000,70,stock,TESLA
55,male,100000,60,stock,TESLA
40,male,5000,50,stock,TESLA
30,female,50000,40,crypto,BTC
25,female,5000,40,crypto,XRP
40,female,10000000,95,crypto,DOGE
25,female,10000000,95,stock,Coca-Cola
70,female,10000,95,stock,APPLE
45,male,5000000,75,crypto,DOGE
70,female,10000000,70,crypto,XRP
55,female,100000,100,stock,TESLA
50,female,1000000,35,stock,JPMorgan
65,male,5000000,35,stock,TESLA
50,female,10000000,45,stock,Coca-Cola
65,male,5000,45,crypto,SOL
35,male,500000,75,stock,Coca-Cola
45,female,10000,5,stock,TESLA
55,female,5000000,20,stock,TESLA
60,female,500000,35,stock,TESLA
30,male,100000,95,stock,Coca-Cola
